virus_TaxName,virus_TaxID,virushost_TaxName
Enterobacteria phage phi21 (Bacteriophage phi-21),,Bacillus subtilis
Mycobacterium phage Bxz1 (Mycobacteriophage Bxz1),,Mycobacterium smegmatis
Abutilon mosaic virus,10815,Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)
Equid herpesvirus 4 (Equine herpesvirus 4),10331,Equus caballus (Horse)
Papaya ringspot virus,12205,Carica papaya (Papaya)
Cucumber green mottle mosaic virus,12235,Cucumis sativus (Cucumber)
Autographa californica multiple nucleopolyhedrovirus,307456,Ostrinia nubilalis (European corn borer) (Pyralis nubilalis)
Arabis mosaic virus (ArMV),,Cornus florida (Flowering dogwood)
Southern cowpea mosaic virus (SCPMV) (Southern bean mosaic virus (strain cowpea)),,Phaseolus vulgaris (Kidney bean) (French bean)
Streptococcus pyogenes phage H10403,,Streptococcus pyogenes
Frog virus 3 (FV-3),10493,Hoplobatrachus tigerinus (Indian bull frog) (Rana tigerina)
Pepper mottle virus (PeMV),,Datura inoxia (Downy thornapple) (Datura meteloides)
Lactococcus phage LL-H (Lactococcus delbrueckii bacteriophage LL-H),,Lactobacillus delbrueckii
Betacoronavirus 1,694003,Sus scrofa (Pig)
Equine infectious anemia virus,11665,Equus asinus (Donkey) (Equus africanus asinus)
Peanut mottle virus,33763,Phaseolus vulgaris (Kidney bean) (French bean)
Enterobacteria phage LZ1 (Bacteriophage LZ1),,Escherichia coli
Tobacco necrosis virus (strain D) (TNV-D),,Phaseolus vulgaris (Kidney bean) (French bean)
Venezuelan equine encephalitis virus,11036,Equus caballus (Horse)
Mycoreovirus 1 (MYRV-1),311228,Cryphonectria parasitica (Chesnut blight fungus) (Endothia parasitica)
Bovine adenovirus F,346178,Bos taurus (Bovine)
Barley yellow dwarf virus (isolate MAV) (BYDV),,Zea mays (Maize)
Sunn-hemp mosaic virus (SHMV) (TMV strain cowpea),,Lablab purpureus (Hyacinth bean) (Dolichos lablab)
Feline leukemia virus,11768,Felis catus (Cat) (Felis silvestris catus)
Sheeppox virus (SPPV),10266,Ovis aries (Sheep)
Human mastadenovirus A,129875,Homo sapiens (Human)
Alcelaphine herpesvirus 1 (wildebeest herpesvirus),35252,Connochaetes taurinus (Blue wildebeest)
Enterobacteria phage RB51 (Bacteriophage RB51),,Escherichia coli
Milk vetch dwarf virus,67585,Astragalus sinicus (Chinese milk vetch)
California encephalitis virus,35305,Ochlerotatus triseriatus (Eastern treehole mosquito) (Aedes triseriatus)
Maize rayado fino virus,59749,Zea mays (Maize)
Reston ebolavirus,186539,Sus scrofa (Pig)
Bean leafroll virus (BLRV),,Lens culinaris (Lentil) (Cicer lens)
Tobacco necrosis virus (strain A) (TNV-A),,Cucumis sativus (Cucumber)
Maize chlorotic mottle virus (MCMV),12138,Zea mays (Maize)
Enterobacteria phage HK022 (Bacteriophage HK022),,Escherichia coli
Fiji disease virus (FDV),77698,Saccharum officinarum (Sugarcane)
Nupapillomavirus 1,334205,Homo sapiens (Human)
Ungulate protoparvovirus 1,1511910,Sus scrofa (Pig)
Maize streak virus,10821,Saccharum officinarum (Sugarcane)
Beet western yellows virus,12042,Raphanus sativus (Radish)
Monkeypox virus,,Cynomys mexicanus (Mexican prairie dog)
Carnation mottle virus (CarMV),,Dianthus caryophyllus (Carnation) (Clove pink)
Venezuelan equine encephalitis virus,11036,Equus asinus (Donkey) (Equus africanus asinus)
Enterobacteria phage IKe (Bacteriophage IKe),,Escherichia coli
Enterobacteria phage BZ13 (Bacteriophage BZ13),329853,Escherichia coli
Vesicular stomatitis Indiana virus,11277,Homo sapiens (Human)
Torque teno sus virus 1a,687386,Sus scrofa (Pig)
Enterobacteria phage If1 (Bacteriophage If1),,Escherichia coli
Kirsten murine sarcoma virus,,Mus musculus (Mouse)
Vesicular stomatitis Indiana virus,11277,Musca domestica (House fly)
Bacillus phage phi105 (Bacteriophage phi-105),,Bacillus subtilis
Triticum mosaic virus,431317,Hordeum vulgare (Barley)
Alphapapillomavirus 1,337048,Homo sapiens (Human)
Beet western yellows virus,12042,Beta vulgaris (Sugar beet)
Drosophila C virus,64279,Drosophila melanogaster (Fruit fly)
Avastrovirus 2,1239438,Gallus gallus (Chicken)
Tobacco ringspot virus (TobRV) (TRSV),12282,Robinia pseudoacacia (Black locust)
High Plains virus,48726,Hordeum vulgare (Barley)
Sendai virus,11191,Mus musculus (Mouse)
Shuni virus,159148,Bos taurus (Bovine)
Macacine herpesvirus 3 (Rhesus cytomegalovirus),47929,Macaca mulatta (Rhesus macaque)
Ribgrass mosaic virus (RMV),,Digitalis lanata (Grecian foxglove)
Enterobacteria phage RB32 (Bacteriophage RB32),,Escherichia coli
Wheat dwarf virus,10834,Triticum aestivum (Wheat)
Cherry rasp leaf virus (CRLV),202566,Taraxacum officinale (Common dandelion) (Leontodon taraxacum)
Bacillus phage phi29 (Bacteriophage phi-29),10756,Bacillus subtilis
Barley stripe mosaic virus (BSMV),,Hordeum vulgare (Barley)
Bovine mastadenovirus C,129952,Bos taurus (Bovine)
Uukuniemi virus (Uuk),11591,Homo sapiens (Human)
Nipah virus,,Pteropus vampyrus (Large flying fox)
Equine torovirus,329862,Equus caballus (Horse)
Passion fruit woodiness virus,31732,Phaseolus vulgaris (Kidney bean) (French bean)
Subterranean clover stunt virus (SCSV),36772,Trifolium subterraneum (Subterranean clover)
Botrytis virus X,174142,Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea)
Rice stripe virus,12331,Triticum aestivum (Wheat)
Alphapapillomavirus 11,337049,Homo sapiens (Human)
Cowpox virus (CPV),10243,Bos taurus (Bovine)
Frog virus 3 (FV-3),10493,Notophthalmus viridescens (Eastern newt) (Triturus viridescens)
Gloriosa stripe mosaic virus (GSMV),,Trifolium repens (Creeping white clover)
Hirame rhabdovirus,38142,Plecoglossus altivelis (Ayu)
Milk vetch dwarf virus,67585,Pisum sativum (Garden pea)
Wheat dwarf virus,10834,Secale cereale (Rye)
Barley yellow dwarf virus (isolate PAV) (BYDV),12040,Secale cereale (Rye)
Raspberry bushy dwarf virus (RBDV),,Rubus idaeus (Raspberry)
Tobacco streak virus,12317,Asparagus officinalis (Garden asparagus)
St. Louis encephalitis virus,11080,Culex pipiens (House mosquito)
Meleagrid herpesvirus 1 (MeHV-1) (Turkey herpesvirus),,Meleagris gallopavo (Common turkey)
Enterobacteria phage Qbeta (Bacteriophage Q-beta),,Escherichia coli
Chicken anemia virus,12618,Gallus gallus (Chicken)
Alfalfa mosaic virus,12321,Cicer arietinum (Chickpea) (Garbanzo)
Shigella phage SfV (Shigella flexneri bacteriophage V) (Bacteriophage SfV),,Shigella flexneri
Grapevine fanleaf virus (GFLV),,Vitis vinifera (Grape)
Borna disease virus (BDV),12455,Bos taurus (Bovine)
Cucumber mosaic virus (cucumber mosaic cucumovirus),12305,Cucurbita pepo (Vegetable marrow) (Summer squash)
Alfalfa mosaic virus,12321,Nicotiana tabacum (Common tobacco)
Adelaide River virus (ARV),,Bubalus bubalis (Domestic water buffalo)
Tomato yellow leaf curl Sardinia virus (TYLCSV),123735,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Barley yellow dwarf virus (isolate PAV) (BYDV),12040,Lolium perenne (Perennial ryegrass)
Alfalfa mosaic virus,12321,Vigna unguiculata (Cowpea)
Beet curly top virus,10840,Spinacia oleracea (Spinach)
Chlamydia phage 1 (Bacteriophage Chp1),,Chlamydophila psittaci (Chlamydia psittaci)
Bacillus phage phi3T (Bacteriophage phi-3T),,Bacillus subtilis
Bovine herpesvirus 5,35244,Bos taurus (Bovine)
Measles virus,11234,Homo sapiens (Human)
Influenza C virus,11552,Sus scrofa (Pig)
Cowpox virus (CPV),10243,Homo sapiens (Human)
Human parechovirus,195054,Homo sapiens (Human)
Mungbean yellow mosaic virus,33726,Vigna unguiculata (Cowpea)
Elephantid herpesvirus 1 (EIHV-1) (Elephant endotheliotropic herpesvirus),146015,Elephas maximus (Indian elephant)
Drosophila x virus (DXV),48981,Drosophila melanogaster (Fruit fly)
Maize streak virus,10821,Triticum aestivum (Wheat)
Enterovirus D,138951,Homo sapiens (Human)
Tamiami mammarenavirus (isolate Rat/United States/W 10777/1964) (TAMV),,Sigmodon hispidus (Hispid cotton rat)
Lactococcus phage 936 sensu lato,354259,Lactococcus lactis
Clover yellow vein virus,,Trifolium incarnatum (Crimson clover)
Tick-borne encephalitis virus,11084,Ixodes ricinus (Common tick)
Enterobacteria phage PRD1 (Bacteriophage PRD1),,Escherichia coli
Bean leafroll virus (BLRV),,Trifolium repens (Creeping white clover)
Foot-and-mouth disease virus,12110,Ovis aries (Sheep)
Clover yellow vein virus,,Coriandrum sativum (Coriander) (Chinese parsley)
Choristoneura fumiferana entomopoxvirus (CfEPV),,Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)
Thogoto virus,11569,Mungos mungo (Banded mongoose)
Barley yellow dwarf virus (isolate PAV) (BYDV),,Hordeum vulgare (Barley)
Soybean chlorotic mottle virus,,Lablab purpureus (Hyacinth bean) (Dolichos lablab)
Vesicular stomatitis New Jersey virus,11280,Bos taurus (Bovine)
Banna virus,77763,Bos taurus (Bovine)
Hepatitis E virus (HEV),12461,Pan troglodytes (Chimpanzee)
Rice dwarf virus (RDV),10991,Oryza sativa (Rice)
Bovine ephemeral fever virus (BEFV),11303,Syncerus caffer (African buffalo)
Bovine herpesvirus 4 (BoHV-4) (Movar virus),10385,Bos taurus (Bovine)
Melon necrotic spot virus (MNSV),,Cucumis melo (Muskmelon)
Pseudomonas phage phiKZ,,Pseudomonas aeruginosa
Botrytis virus F,129395,Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea)
Borna disease virus (BDV),,Oryctolagus cuniculus (Rabbit)
Carnation mottle virus (CarMV),11986,Dianthus caryophyllus (Carnation) (Clove pink)
Vesicular exanthema of swine virus (VESV),35612,Sus scrofa (Pig)
Enterobacteria phage N15 (Bacteriophage N15),,Escherichia coli
Langat virus,11085,Homo sapiens (Human)
Pieris rapae virus,,Pieris rapae (Small white butterfly) (Artogeia rapae)
Alfalfa mosaic virus,12321,Glycine max (Soybean) (Glycine hispida)
Tobacco rattle virus,12295,Solanum tuberosum (Potato)
Sunn-hemp mosaic virus (SHMV) (TMV strain cowpea),,Crotalaria juncea (Sunn hemp)
Simian hemorrhagic fever virus (SHFV),,Erythrocebus patas (Red guenon) (Cercopithecus patas)
Rotavirus C,36427,Sus scrofa (Pig)
Beet western yellows virus,12042,Lactuca sativa (Garden lettuce)
Encephalomyocarditis virus,,Sigmodon hispidus (Hispid cotton rat)
Bean yellow mosaic virus,,Trifolium repens (Creeping white clover)
Bacillus phage B103 (Bacteriophage B103),,Bacillus subtilis
Spodoptera frugiperda ascovirus 1a (SfAV-1a),,Spodoptera frugiperda (Fall armyworm)
Tomato mottle virus,10835,Nicotiana tabacum (Common tobacco)
Choristoneura fumiferana granulovirus (CfGV),,Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)
Equid herpesvirus 2 (Equine herpesvirus 2),12657,Equus caballus (Horse)
Beet ringspot virus (BRSV) (Tomato black ring virus (strain S)),,Solanum tuberosum (Potato)
Human papillomavirus type 54,,Homo sapiens (Human)
Alphapapillomavirus 3,333767,Homo sapiens (Human)
Newcastle disease virus,11176,Gallus gallus (Chicken)
Primate T-lymphotropic virus 1,194440,Homo sapiens (Human)
Cowpea severe mosaic virus,12261,Crotalaria juncea (Sunn hemp)
Tobacco necrosis virus (strain A) (TNV-A),,Nicotiana tabacum (Common tobacco)
Tobacco necrosis virus (strain D) (TNV-D),,Tulipa gesneriana (Garden tulip)
Pseudomonas phage PAJU2,,Pseudomonas aeruginosa
Hendra virus,63330,Equus caballus (Horse)
Cucumber mosaic virus (cucumber mosaic cucumovirus),12305,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Encephalomyocarditis virus,12104,Sigmodon hispidus (Hispid cotton rat)
Pneumococcus phage Dp-1 (Bacteriophage Dp-1),,Streptococcus pneumoniae
Rice black streaked dwarf virus (RBSDV),,Oryza sativa (Rice)
Raspberry ringspot virus,12809,Narcissus pseudonarcissus (Daffodil)
Canine distemper virus,11232,Procyon lotor (Raccoon)
Enterobacteria phage H19B (Bacteriophage H19B),,Escherichia coli
Tobacco streak virus,12317,Nicotiana tabacum (Common tobacco)
Bacillus phage GA-1 (Bacteriophage GA-1),,Bacillus subtilis
Human respiratory syncytial virus,,Homo sapiens (Human)
Monkeypox virus,,Mus musculus (Mouse)
Enterobacteria phage T4 sensu lato,348604,Yersinia pseudotuberculosis
Encephalomyocarditis virus,,Mus musculus (Mouse)
Monkeypox virus,,Homo sapiens (Human)
Louping ill virus (Li),,Bos taurus (Bovine)
Plum pox virus,12211,Prunus armeniaca (Apricot) (Armeniaca vulgaris)
Invertebrate iridescent virus 6 (IIV-6) (Chilo iridescent virus),,Acheta domesticus (House cricket)
Australian bat lyssavirus,90961,Homo sapiens (Human)
Bacillus phage PBS2 (Bacteriophage PBS2),,Bacillus subtilis
Soil-borne wheat mosaic virus (SBWMV),28375,Hordeum vulgare (Barley)
Tomato spotted wilt virus (strain Brazilian Br-03) (TSWV) (Tomato chlorotic spot virus),,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Pepper ringspot virus,31750,Beta vulgaris (Sugar beet)
Primate T-lymphotropic virus 2,194441,Homo sapiens (Human)
Beet curly top virus,10840,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Broad bean wilt virus 1 (BBWV-1),50817,Vicia faba (Broad bean) (Faba vulgaris)
Bean yellow mosaic virus,,Arachis hypogaea (Peanut)
Potato virus Y,12216,Solanum tuberosum (Potato)
Southern cowpea mosaic virus (SCPMV) (Southern bean mosaic virus (strain cowpea)),,Vigna mungo (Black gram) (Phaseolus mungo)
Hepatitis E virus (HEV),12461,Gallus gallus (Chicken)
Bear Canyon mammarenavirus (isolate Mouse/United States/AV A0070039/2000) (BCNV),,Peromyscus californicus (California mouse)
Rift valley fever virus (RVFV),11588,Phlebotomus papatasi (Sandfly)
Mungbean yellow mosaic virus,33726,Vigna mungo (Black gram) (Phaseolus mungo)
Cocal virus (COCV),,Equus caballus (Horse)
Raspberry ringspot virus,12809,Fragaria vesca (Woodland strawberry) (Potentilla vesca)
Enterobacteria phage LZ4 (Bacteriophage LZ4),,Escherichia coli
Cercopithecine herpesvirus 1 (CeHV-1) (Simian herpes B virus),,Macaca mulatta (Rhesus macaque)
Beet western yellows virus,12042,Cucurbita pepo (Vegetable marrow) (Summer squash)
European mountain ash ringspot-associated virus (isolate Sorbus aucuparia) (EMARAV),,Sorbus aucuparia (European mountain ash) (Rowan)
Bacillus phage SPbeta (Bacillus phage SPBc2) (Bacteriophage SP-beta),,Bacillus pumilus (Bacillus mesentericus)
Duvenhage virus (DUVV),,Homo sapiens (Human)
Sugarcane streak virus,10836,Saccharum officinarum (Sugarcane)
Tobacco mosaic virus,12242,Digitalis lanata (Grecian foxglove)
Murine pneumotropic virus,229278,Mus musculus (Mouse)
Encephalomyocarditis virus,12104,Homo sapiens (Human)
Potato leafroll virus (PLrV),12045,Solanum tuberosum (Potato)
Hendra virus,63330,Pteropus scapulatus (Little red flying fox)
Cowpox virus (CPV),,Loxodonta africana (African elephant)
Gammapapillomavirus 1,333926,Homo sapiens (Human)
Human parainfluenza virus 1,12730,Homo sapiens (Human)
Human herpesvirus 3 (HHV-3) (Varicella-zoster virus),10335,Homo sapiens (Human)
Passion fruit woodiness virus,31732,Glycine max (Soybean) (Glycine hispida)
Faba bean necrotic yellows virus,59817,Phaseolus vulgaris (Kidney bean) (French bean)
Murine polyomavirus,10634,Mus musculus (Mouse)
St. Louis encephalitis virus,11080,Columba livia (Rock dove)
Barley yellow dwarf virus (isolate PAV) (BYDV),12040,Zea mays (Maize)
Raspberry bushy dwarf virus (RBDV),12451,Rubus ursinus (California blackberry)
Rotavirus A,28875,Bos taurus (Bovine)
Beet western yellows virus,12042,Helianthus annuus (Common sunflower)
Turnip mosaic virus (strain Japanese) (TuMV),,Alliaria petiolata (Garlic mustard) (Arabis petiolata)
Nora virus,,Drosophila melanogaster (Fruit fly)
Serratia phage KSP90 (Serratia marcescens bacteriophage KSP90),,Serratia marcescens
Maize rough dwarf virus (MRDV),,Triticum aestivum (Wheat)
Macrobrachium rosenbergii nodavirus (MrNV),,Macrobrachium rosenbergii (Giant fresh water prawn)
Tobacco rattle virus,12295,Spinacia oleracea (Spinach)
Saimiriine herpesvirus 2 (SaHV-2) (Herpesvirus saimiri),10381,Saimiri sciureus (Common squirrel monkey)
Peanut clump virus,28355,Arachis hypogaea (Peanut)
Milk vetch dwarf virus,67585,Vicia faba (Broad bean) (Faba vulgaris)
Pepper mottle virus (PeMV),,Capsicum annuum (Bell pepper)
Red clover necrotic mosaic virus (RCNMV),,Trifolium repens (Creeping white clover)
Bluetongue virus,40051,Bos taurus (Bovine)
Rodent protoparvovirus 1,1511908,Mus musculus (Mouse)
Louping ill virus (Li),11086,Ixodes ricinus (Common tick)
Mumps virus,11161,Homo sapiens (Human)
Vesicular stomatitis Indiana virus,11277,Sus scrofa (Pig)
Bacillus phage SPR (Bacteriophage SPR),,Bacillus subtilis
Streptococcus pyogenes phage H4489A,,Streptococcus pyogenes
Streptococcus pneumoniae phage HB-3,,Streptococcus pneumoniae
Tomato mosaic virus,12253,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Tupaiid herpesvirus (strain 2) (TuHV-2) (Herpesvirus tupaia (strain 2)),,Tupaia belangeri (Common tree shrew) (Tupaia glis belangeri)
Alfalfa mosaic virus,12321,Solanum tuberosum (Potato)
Watermelon mosaic virus,146500,Cucumis melo (Muskmelon)
Thogoto virus,11569,Rhipicephalus microplus (Cattle tick) (Boophilus microplus)
Machupo virus (MACV),,Calomys callosus (Large vesper mouse)
Beet ringspot virus (BRSV) (Tomato black ring virus (strain S)),,Beta vulgaris (Sugar beet)
Rous sarcoma virus,11886,Gallus gallus (Chicken)
Rabbit hemorrhagic disease virus (RHDV),11976,Oryctolagus cuniculus (Rabbit)
Acidianus filamentous virus 1 (AFV-1),235266,Acidianus infernus
O'nyong-nyong virus,11027,Homo sapiens (Human)
Infectious laryngotracheitis virus (ILTV) (Gallid herpesvirus 1),10386,Gallus gallus (Chicken)
St. Louis encephalitis virus,11080,Culex tarsalis (Encephalitis mosquito)
Lettuce big-vein associated virus,311413,Lactuca sativa (Garden lettuce)
Gammapapillomavirus 3,333929,Homo sapiens (Human)
Tomato black ring virus,12275,Phaseolus vulgaris (Kidney bean) (French bean)
Bean leafroll virus (BLRV),,Pisum sativum (Garden pea)
Barley yellow dwarf virus (isolate MAV) (BYDV),,Oryza sativa (Rice)
Peanut clump virus,28355,Setaria italica (Foxtail millet) (Panicum italicum)
Nodamura virus (NoV),12288,Sus scrofa (Pig)
Bean yellow mosaic virus,,Trifolium incarnatum (Crimson clover)
Lettuce mosaic virus,12202,Cicer arietinum (Chickpea) (Garbanzo)
Cercopithecine herpesvirus 1 (CeHV-1) (Simian herpes B virus),,Homo sapiens (Human)
Torque teno felis virus,687384,Felis catus (Cat) (Felis silvestris catus)
Maize dwarf mosaic virus (MDMV),,Zea mays (Maize)
Escherichia phage D108 (Bacteriophage D108),,Escherichia coli
Gallid herpesvirus 2,10390,Gallus gallus (Chicken)
Tomato ringspot virus,12280,Nicotiana tabacum (Common tobacco)
Ovine adenovirus D (OAdV-D),130327,Ovis aries (Sheep)
Subterranean clover stunt virus (SCSV),36772,Phaseolus vulgaris (Kidney bean) (French bean)
Sapporo virus,95342,Sus scrofa (Pig)
Corynephage beta,,Corynebacterium diphtheriae
Dugbe virus,11595,Amblyomma variegatum (Tropical bont tick)
Squash mosaic virus,12263,Ecballium elaterium (Jumping cucumber) (Momordica elaterium)
Barley yellow dwarf virus (isolate MAV) (BYDV),,Triticum aestivum (Wheat)
Dugbe virus,,Amblyomma variegatum (Tropical bont tick)
Louping ill virus (Li),,Ixodes ricinus (Common tick)
Brome streak mosaic virus,42631,Hordeum murinum (Mouse barley) (Critesion murinum)
Murine osteosarcoma virus,11830,Mus musculus (Mouse)
Rabbit fibroma virus,10271,Oryctolagus cuniculus (Rabbit)
Arabis mosaic virus (ArMV),12271,Vitis vinifera (Grape)
African swine fever virus (ASFV),10497,Phacochoerus aethiopicus (Warthog)
Dengue virus,12637,Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)
Rotavirus C,36427,Bos taurus (Bovine)
Bean yellow mosaic virus,,Phaseolus vulgaris (Kidney bean) (French bean)
Barley yellow dwarf virus (isolate MAV) (BYDV),,Hordeum vulgare (Barley)
Borna disease virus (BDV),,Hexaprotodon liberiensis (Pygmy hippopotamus) (Choeropsis liberiensis)
Sulfolobus virus-like particle SSV2,,Sulfolobus islandicus
Murine mastadenovirus A,129956,Mus musculus (Mouse)
Aquareovirus G,519014,Mylopharyngodon piceus (Black carp)
Barley yellow dwarf virus (isolate PAV) (BYDV),12040,Avena sativa (Oat)
Tobacco ringspot virus (TobRV) (TRSV),12282,Apium graveolens (Celery)
Orf virus (ORFV),10258,Ovis aries (Sheep)
Streptococcus phage Cp-1 (Bacteriophage Cp-1),,Streptococcus pneumoniae
Antheraea pernyi nuclear polyhedrosis virus (ApNPV),,Antheraea pernyi (Chinese oak silk moth)
Clover yellow vein virus,,Pisum sativum (Garden pea)
Murid herpesvirus 1 (MuHV-1) (Mouse cytomegalovirus),10366,Mus musculus (Mouse)
Australian bat lyssavirus,90961,Pteropus scapulatus (Little red flying fox)
Bean yellow mosaic virus,,Vicia sativa (Spring vetch) (Tare)
Bacillus phage SPP1 (Bacteriophage SPP1),,Bacillus subtilis
Ectromelia virus,12643,Mus musculus (Mouse)
Bordetella phage BPP-1,,Bordetella bronchiseptica (Alcaligenes bronchisepticus)
Cherry rasp leaf virus (CRLV),202566,Prunus persica (Peach) (Amygdalus persica)
Canine distemper virus,11232,Zalophus californianus (California sealion)
Alphapapillomavirus 5,337044,Homo sapiens (Human)
Southern bean mosaic virus,12139,Phaseolus vulgaris (Kidney bean) (French bean)
Triticum mosaic virus,431317,Secale cereale (Rye)
Chloris striate mosaic virus (CSMV),,Avena sativa (Oat)
Barley yellow dwarf virus (isolate MAV) (BYDV),12038,Hordeum vulgare (Barley)
Sandfly fever Naples virus,206160,Homo sapiens (Human)
Mouse intracisternal a-particle MIAE (IAP-MIAE),,Mus musculus (Mouse)
White clover cryptic virus 1 (WCCV-1),292052,Trifolium repens (Creeping white clover)
Rotavirus A,28875,Macaca mulatta (Rhesus macaque)
Human mastadenovirus C,129951,Homo sapiens (Human)
Cabbage leaf curl virus (isolate Jamaica) (CaLCuV),,Brassica oleracea (Wild cabbage)
Beet western yellows virus,12042,Pisum sativum (Garden pea)
Influenza A virus,11320,Gallus gallus (Chicken)
Borna disease virus (BDV),,Capra hircus (Goat)
Rift valley fever virus (RVFV),,Ovis aries (Sheep)
Sulfolobus spindle-shape virus 1 (SSV1),,Sulfolobus solfataricus
Paprika mild mottle virus (PaMMV),,Capsicum annuum (Bell pepper)
Barley yellow dwarf virus (isolate PAV) (BYDV),,Lolium perenne (Perennial ryegrass)
Crimean-Congo hemorrhagic fever virus,11593,Capra hircus (Goat)
Vesicular stomatitis New Jersey virus,11280,Equus asinus (Donkey) (Equus africanus asinus)
Rice black streaked dwarf virus (RBSDV),,Avena sativa (Oat)
Human herpesvirus 6B (strain HST) (HHV-6 variant B) (Human B lymphotropic virus),32604,Homo sapiens (Human)
Acyrthosiphon pisum secondary endosymbiont phage 1 (Bacteriophage APSE-1),,Escherichia coli
Tomato yellow leaf curl China virus (TYLCCNV),,Nicotiana tabacum (Common tobacco)
Venezuelan equine encephalitis virus,11036,Bos taurus (Bovine)
Faba bean necrotic yellows virus,59817,Lens culinaris (Lentil) (Cicer lens)
Melon necrotic spot virus (MNSV),,Cucumis sativus (Cucumber)
Lactococcus phage phivML3 (Lactococcus bacteriophage phi-vML3),,Lactococcus lactis
Barley yellow dwarf virus,12037,Avena sativa (Oat)
Ustilago maydis P4 virus (UmV4) (UmV-P4),,Ustilago maydis (Corn smut fungus)
Simian virus 12,46771,Papio hamadryas ursinus (Chacma baboon)
Mayaro virus,59301,Homo sapiens (Human)
High Plains virus,48726,Zea mays (Maize)
Alfalfa mosaic virus,12321,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Gloriosa stripe mosaic virus (GSMV),,Trifolium hybridum (Alsike clover)
Cryphonectria hypovirus 1,40281,Cryphonectria parasitica (Chesnut blight fungus) (Endothia parasitica)
Turnip mosaic virus (strain Japanese) (TuMV),,Trifolium hybridum (Alsike clover)
Carnivore protoparvovirus 1,1511906,Felis catus (Cat) (Felis silvestris catus)
Lettuce infectious yellows virus (LIYV),31713,Beta vulgaris (Sugar beet)
Rice black streaked dwarf virus (RBSDV),,Triticum aestivum (Wheat)
Tobacco ringspot virus (TobRV) (TRSV),,Glycine max (Soybean) (Glycine hispida)
European elk papillomavirus (EEPV),10565,Rangifer tarandus (Reindeer) (Cervus tarandus)
Equine infectious anemia virus,11665,Equus caballus (Horse)
Maize rough dwarf virus (MRDV),,Zea mays (Maize)
Enterobacteria phage M1 (Bacteriophage M1),,Selenomonas ruminantium
Tomato black ring virus,12275,Lactuca sativa (Garden lettuce)
Hepatitis A virus,12092,Pan troglodytes (Chimpanzee)
