virus_TaxName,virus_TaxID,virushost_TaxName
Tobacco streak virus,12317,Phaseolus vulgaris (Kidney bean) (French bean)
Apple chlorotic leaf spot virus,12175,Prunus armeniaca (Apricot) (Armeniaca vulgaris)
Ovine respiratory syncytial virus,28869,Ovis aries (Sheep)
Porcine circovirus 2 (PCV2),,Sus scrofa (Pig)
Pea enation mosaic virus-1 (PEMV-1),193121,Pisum sativum (Garden pea)
Shigella phage SfII (Shigella flexneri bacteriophage II) (Bacteriophage SfII),,Shigella flexneri
Staphylococcus phage phi11 (Bacteriophage phi-11),,Staphylococcus aureus
Bacillus phage SF6 (Bacteriophage SF6),,Bacillus subtilis
Barley yellow dwarf virus,12037,Secale cereale (Rye)
Cucumber mosaic virus (cucumber mosaic cucumovirus),12305,Nicotiana tabacum (Common tobacco)
Beet western yellows virus,12042,Citrullus lanatus (Watermelon) (Citrullus vulgaris)
Turnip mosaic virus (strain Japanese) (TuMV),12230,Stellaria media (Common chickweed) (Alsine media)
Bluetongue virus,40051,Capra hircus (Goat)
Milk vetch dwarf virus,67585,Glycine max (Soybean) (Glycine hispida)
Cowpox virus (CPV),10243,Loxodonta africana (African elephant)
Rinderpest virus,11241,Bubalus bubalis (Domestic water buffalo)
Rinderpest virus,11241,Capra hircus (Goat)
Human torovirus (HuTV),,Homo sapiens (Human)
Carnation Italian ringspot virus (CIRV),,Dianthus caryophyllus (Carnation) (Clove pink)
Enterobacteria phage RB3 (Bacteriophage RB3),31533,Escherichia coli
Severe acute respiratory syndrome-related coronavirus,694009,Paguma larvata (Masked palm civet)
Rice dwarf virus (RDV),,Oryza sativa (Rice)
Rhizobium phage 16-3 (Bacteriophage 16-3),,Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)
Mason-Pfizer monkey virus (MPMV) (Simian Mason-Pfizer virus),,Macaca mulatta (Rhesus macaque)
Atlantic halibut nervous necrosis virus (AhNNV),,Hippoglossus hippoglossus (Atlantic halibut) (Pleuronectes hippoglossus)
Maize streak virus,10821,Melinis repens (Natal redtop) (Rhynchelytrum repens)
Citrus tristeza virus,12162,Citrus paradisi (Grapefruit)
Rift valley fever virus (RVFV),,Bos taurus (Bovine)
Bovine herpesvirus 1,10320,Bos taurus (Bovine)
Tobacco necrosis virus (strain D) (TNV-D),,Cucumis sativus (Cucumber)
Tobacco necrosis virus (strain A) (TNV-A),,Phaseolus vulgaris (Kidney bean) (French bean)
Acute bee paralysis virus,92444,Apis mellifera (Honeybee)
Passion fruit woodiness virus,31732,Arachis hypogaea (Peanut)
Western equine encephalitis virus (WEEV),,Lepus americanus (Snowshoe hare)
Bovine herpesvirus 4 (BoHV-4) (Movar virus),,Felis catus (Cat) (Felis silvestris catus)
Barley yellow dwarf virus (isolate PAV) (BYDV),,Oryza sativa (Rice)
Rinderpest virus,11241,Ovis aries (Sheep)
Vesicular stomatitis New Jersey virus,11280,Equus caballus (Horse)
Beet mosaic virus (BtMV),,Spinacia oleracea (Spinach)
Enterobacteria phage I2-2 (Bacteriophage I2-2),,Escherichia coli
Enterobacteria phage phi80 (Bacteriophage phi-80),,Escherichia coli
Thogoto virus,11569,Cavia cutleri (Guinea pig)
Infectious salmon anemia virus,55987,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Enterobacteria phage RB3 (Bacteriophage RB3),,Escherichia coli
Cucumber green mottle mosaic virus,12235,Lagenaria siceraria (Bottle gourd) (Lagenaria leucantha)
Clover yellow vein virus,,Trifolium hybridum (Alsike clover)
Wheat yellow head virus (WYHV),,Triticum aestivum (Wheat)
Sapporo virus,95342,Homo sapiens (Human)
Human papillomavirus type ME180,,Homo sapiens (Human)
Beet mosaic virus (BtMV),,Amaranthus retroflexus (Redroot amaranth) (Redroot pigweed)
Cucumber mosaic virus (cucumber mosaic cucumovirus),12305,Cucumis sativus (Cucumber)
Barley yellow dwarf virus (isolate MAV) (BYDV),,Avena sativa (Oat)
Human coronavirus NL63 (HCoV-NL63),,Homo sapiens (Human)
Yaba monkey tumor virus (YMTV),38804,Papio hamadryas (Hamadryas baboon)
Ground squirrel hepatitis virus (strain 27) (GSHV),10406,Spermophilus beecheyi (California ground squirrel) (Otospermophilus beecheyi)
Tobacco mosaic virus,12242,Nicotiana tabacum (Common tobacco)
Serratia phage KSP100 (Serratia marcescens bacteriophage KSP100),,Serratia marcescens
Rhesus papillomavirus type 1 (Rhpv 1),,Macaca mulatta (Rhesus macaque)
Enterovirus B,138949,Sus scrofa (Pig)
Bovine papillomavirus type 5,,Bos taurus (Bovine)
Watermelon mosaic virus,146500,Citrullus lanatus (Watermelon) (Citrullus vulgaris)
Indian cassava mosaic virus (ICMV),,Manihot esculenta (Cassava) (Jatropha manihot)
Tobacco necrosis virus (strain A) (TNV-A),,Tulipa gesneriana (Garden tulip)
Tobacco vein mottling virus (TVMV),,Nicotiana tabacum (Common tobacco)
Bean yellow mosaic virus,,Glycine max (Soybean) (Glycine hispida)
Lettuce infectious yellows virus (LIYV),31713,Citrullus lanatus (Watermelon) (Citrullus vulgaris)
St. Louis encephalitis virus,11080,Culex quinquefasciatus (Southern house mosquito) (Culex pungens)
Human mastadenovirus F,130309,Homo sapiens (Human)
Cherry rasp leaf virus (CRLV),202566,Prunus avium (Cherry) (Cerasus avium)
Ovine astrovirus 1 (OAstV-1),,Ovis aries (Sheep)
Cocksfoot mottle virus,40979,Triticum aestivum (Wheat)
African horse sickness virus,40050,Equus burchelli (Plains zebra) (Equus quagga)
Baboon endogenous virus,196403,Theropithecus gelada (Gelada baboon)
Betapapillomavirus 2,333924,Homo sapiens (Human)
Raspberry ringspot virus,12809,Rubus idaeus (Raspberry)
Bacteriophage H30,,Escherichia coli
Borna disease virus (BDV),,Bos taurus (Bovine)
Colorado tick fever virus (CTFV),46839,Peromyscus maniculatus (North American deer mouse)
Feline foamy virus (FFV) (Feline syncytial virus),,Felis catus (Cat) (Felis silvestris catus)
Avian infectious bursal disease virus (IBDV) (Gumboro disease virus),,Gallus gallus (Chicken)
Betapapillomavirus 3,334207,Homo sapiens (Human)
Wound tumor virus (WTV),10987,Trifolium incarnatum (Crimson clover)
Frog adenovirus (FrAdV),298331,Lithobates pipiens (Northern leopard frog) (Rana pipiens)
Human parainfluenza virus 3,11216,Homo sapiens (Human)
Porcine mastadenovirus B,130370,Sus scrofa (Pig)
Human papillomavirus type 64,,Homo sapiens (Human)
Norwalk virus,11983,Homo sapiens (Human)
Tomato yellow leaf curl virus,10832,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Tobacco necrosis virus (strain D) (TNV-D),,Nicotiana tabacum (Common tobacco)
Mirafiori lettuce big-vein virus,200255,Lactuca sativa (Garden lettuce)
Ross River virus,11029,Equus caballus (Horse)
Zucchini yellow mosaic virus,12232,Cucurbita pepo (Vegetable marrow) (Summer squash)
Pseudomonas phage D3112 (Bacteriophage D3112),,Pseudomonas aeruginosa
Enterobacteria phage PRD1 (Bacteriophage PRD1),,Acinetobacter calcoaceticus
Ribgrass mosaic virus (RMV),51680,Nicotiana tabacum (Common tobacco)
Mokola virus (MOKV),,Felis catus (Cat) (Felis silvestris catus)
Rubella virus (RUBV),11041,Homo sapiens (Human)
Choristoneura biennis entomopoxvirus (CbEPV),,Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)
Maize rough dwarf virus (MRDV),,Avena sativa (Oat)
Monkeypox virus,,Cynomys parvidens (Utah prairie dog)
Flock house virus (FHV),,Galleria mellonella (Greater wax moth)
Enterobacteria phage MS2 (Bacteriophage MS2),,Escherichia coli
Ourmia melon virus,186786,Cucumis melo (Muskmelon)
Pepper ringspot virus,31750,Spinacia oleracea (Spinach)
African horse sickness virus,40050,Camelus dromedarius (Dromedary) (Arabian camel)
Myeloproliferative leukemia virus (MpLV),,Mus musculus (Mouse)
Rotavirus A,28875,Chlorocebus pygerythrus (Vervet monkey) (Cercopithecus pygerythrus)
Marburg marburgvirus,11269,Homo sapiens (Human)
Human cytomegalovirus (HHV-5) (Human herpesvirus 5),10359,Homo sapiens (Human)
Avastrovirus 2,1239438,Meleagris gallopavo (Common turkey)
Tomato bushy stunt virus,12145,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Enterobacteria phage T3 (Bacteriophage T3),,Escherichia coli
Pseudomonas phage D3 (Bacteriophage D3),,Pseudomonas aeruginosa
Subterranean clover stunt virus (SCSV),36772,Vicia faba (Broad bean) (Faba vulgaris)
Crimean-Congo hemorrhagic fever virus,11593,Bos taurus (Bovine)
Vaccinia virus,10245,Bos taurus (Bovine)
Porcine mastadenovirus A,130369,Sus scrofa (Pig)
Avastrovirus 3,1239439,Meleagris gallopavo (Common turkey)
Encephalomyocarditis virus,12104,Mus musculus (Mouse)
Cydia pomonella granulosis virus (CpGV) (Cydia pomonella granulovirus),28289,Cydia pomonella (Codling moth)
Subterranean clover stunt virus (SCSV),36772,Pisum sativum (Garden pea)
Cacao yellow mosaic virus,,Theobroma cacao (Cacao) (Cocoa)
Carnation etched ring virus (CERV),,Dianthus caryophyllus (Carnation) (Clove pink)
Tobacco etch virus (TEV),,Capsicum annuum (Bell pepper)
Plum pox virus,12211,Prunus persica (Peach) (Amygdalus persica)
Beet ringspot virus (BRSV) (Tomato black ring virus (strain S)),,Robinia pseudoacacia (Black locust)
Salmon pancreas disease virus (SPDV),84589,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Bovine herpesvirus 2,10295,Bos taurus (Bovine)
Vesicular stomatitis Indiana virus,11277,Equus caballus (Horse)
New York virus (NYV),,Homo sapiens (Human)
Parsnip yellow fleck virus,12777,Apium graveolens (Celery)
Aquareovirus G,519014,Ctenopharyngodon idella (Grass carp) (Leuciscus idella)
Human mastadenovirus D,130310,Homo sapiens (Human)
Satellite tobacco mosaic virus (STMV),12881,Phaseolus vulgaris (Kidney bean) (French bean)
Tomato torrado virus,370833,Nicotiana tabacum (Common tobacco)
Rhinovirus A,147711,Homo sapiens (Human)
Faba bean necrotic yellows virus,59817,Cicer arietinum (Chickpea) (Garbanzo)
Hepatitis E virus (HEV),12461,Homo sapiens (Human)
Enterobacteria phage RB15 (Bacteriophage RB15),,Escherichia coli
Bean yellow mosaic virus,,Trifolium subterraneum (Subterranean clover)
California encephalitis virus,35305,Homo sapiens (Human)
Dengue virus,12637,Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
Tobacco rattle virus,12295,Viola arvensis (European field pansy) (Field violet)
Marburg marburgvirus,11269,Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)
Apple chlorotic leaf spot virus,12175,Pyrus communis (Pear) (Pyrus domestica)
Alfalfa mosaic virus,12321,Apium graveolens (Celery)
Abutilon mosaic virus,10815,Phaseolus vulgaris (Kidney bean) (French bean)
Thermus phage PH75 (Bacteriophage PH75),,Thermus thermophilus
Broad bean wilt virus 1 (BBWV-1),50817,Spinacia oleracea (Spinach)
Ustilago maydis P6 virus (UmV6) (UmV-P6),,Ustilago maydis (Corn smut fungus)
Gloriosa stripe mosaic virus (GSMV),,Lupinus luteus (European yellow lupin)
Yellow fever virus,11089,Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
Marburg marburgvirus,11269,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
Potato aucuba mosaic virus (PAMV),,Solanum tuberosum (Potato)
Milk vetch dwarf virus,67585,Phaseolus vulgaris (Kidney bean) (French bean)
Borna disease virus (BDV),12455,Ovis aries (Sheep)
Alfalfa mosaic virus,12321,Pisum sativum (Garden pea)
Potato virus A (PVA),12215,Solanum nigrum (Black nightshade)
Borna disease virus (BDV),,Ovis aries (Sheep)
Enterovirus G,106966,Sus scrofa (Pig)
Porcine epidemic diarrhea virus,28295,Sus scrofa (Pig)
Rotavirus B,28876,Homo sapiens (Human)
Bovine polyomavirus (BPyV),,Bos taurus (Bovine)
Lettuce infectious yellows virus (LIYV),31713,Cucurbita pepo (Vegetable marrow) (Summer squash)
Venezuelan equine encephalitis virus,11036,Homo sapiens (Human)
Human parainfluenza virus 4,11203,Homo sapiens (Human)
Lettuce necrotic yellows virus (LNYV),32612,Lactuca sativa (Garden lettuce)
African horse sickness virus,40050,Equus asinus (Donkey) (Equus africanus asinus)
Penicillium chrysogenum virus (PcV),158372,Penicillium chrysogenum (Penicillium notatum)
Cymbidium ringspot virus (CymRSV),,Trifolium repens (Creeping white clover)
Tanapox virus,99000,Homo sapiens (Human)
Cowpea severe mosaic virus,12261,Vigna radiata (Mung bean)
Carnation latent virus (CLV),,Dianthus caryophyllus (Carnation) (Clove pink)
Ribgrass mosaic virus (RMV),51680,Digitalis lanata (Grecian foxglove)
Hantaan virus,11599,Apodemus agrarius (Eurasian field mouse)
Cycas necrotic stunt virus (CNSV),,Cycas revoluta (Sago palm)
Human herpesvirus 6B (strain HST) (HHV-6 variant B) (Human B lymphotropic virus),,Homo sapiens (Human)
Youcai mosaic virus,228578,Brassica napus (Rape)
Human picobirnavirus,145856,Homo sapiens (Human)
Red sea bream iridovirus (RSIV),,Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)
African green monkey polyomavirus,12480,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
Lactococcus phage mv4 (Lactococcus delbrueckii bacteriophage mv4),,Lactobacillus delbrueckii
Beet western yellows virus,12042,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Pepper ringspot virus,31750,Solanum tuberosum (Potato)
Louping ill virus (Li),,Sus scrofa (Pig)
Oat chlorotic stunt virus,146762,Avena sativa (Oat)
Tobacco necrosis virus (strain A) (TNV-A),,Nicotiana clevelandii (Wild tobacco)
Banna virus,77763,Sus scrofa (Pig)
Bean yellow mosaic virus,,Medicago sativa (Alfalfa)
Cowpox virus (CPV),,Myodes glareolus (Bank vole) (Clethrionomys glareolus)
African swine fever virus (ASFV),10497,Sus scrofa (Pig)
Rift valley fever virus (RVFV),11588,Bos taurus (Bovine)
Gloriosa stripe mosaic virus (GSMV),,Trifolium subterraneum (Subterranean clover)
Tobacco ringspot virus (TobRV) (TRSV),12282,Lactuca sativa (Garden lettuce)
Simian immunodeficiency virus (SIV),11723,Chlorocebus tantalus (Tantalus monkey) (Cercopithecus tantalus)
Hendra virus,63330,Pteropus alecto (Black flying fox)
Andean potato mottle virus (APMV),,Solanum tuberosum (Potato)
Japanese encephalitis virus,11072,Bos taurus (Bovine)
Shigella phage Sf6 (Shigella flexneri bacteriophage VI) (Bacteriophage SfVI),,Shigella flexneri
Rice gall dwarf virus (RGDV),,Oryza sativa (Rice)
African horse sickness virus,40050,Equus hemionus (Onager) (Asian wild ass)
Cassava vein mosaic virus (CsVMV),,Manihot esculenta (Cassava) (Jatropha manihot)
African horse sickness virus,40050,Equus caballus (Horse)
Clover yellow mosaic virus (CYMV),,Stellaria media (Common chickweed) (Alsine media)
Enterovirus A,138948,Homo sapiens (Human)
Elephantid herpesvirus 1 (EIHV-1) (Elephant endotheliotropic herpesvirus),146015,Loxodonta africana (African elephant)
Lymphocytic choriomeningitis mammarenavirus,11623,Mus musculus (Mouse)
Choristoneura fumiferana cypovirus (CfCPV) (Choristoneura fumiferana cytoplasmic polyhedrosis virus),,Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)
Tobacco ringspot virus (TobRV) (TRSV),12282,Solanum tuberosum (Potato)
Tomato spotted wilt virus (TSWV),,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Sandfly fever sicilian virus (SFS),,Phlebotomus papatasi (Sandfly)
Grapevine chrome mosaic virus (GCMV) (Hungarian grapevine chrome mosaic virus),,Apium graveolens (Celery)
Ribgrass mosaic virus (RMV),51680,Plantago lanceolata (English plantain) (Ribwort plantain)
Barley yellow dwarf virus (isolate MAV) (BYDV),12038,Oryza sativa (Rice)
Alphapapillomavirus 4,337043,Homo sapiens (Human)
Cowpox virus (CPV),10243,Felis catus (Cat) (Felis silvestris catus)
Thogoto virus,11569,Rhipicephalus appendiculatus (Brown ear tick)
Barmah forest virus (BFV),,Homo sapiens (Human)
Bean yellow mosaic virus,,Lupinus luteus (European yellow lupin)
Sendai virus,11191,Cavia cutleri (Guinea pig)
Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2),,Homo sapiens (Human)
Hepatitis C virus,11103,Homo sapiens (Human)
California encephalitis virus,35305,Gallus gallus (Chicken)
Lymphocytic choriomeningitis mammarenavirus,11623,Homo sapiens (Human)
Bovine torovirus,74501,Bos taurus (Bovine)
Human immunodeficiency virus 2,11709,Homo sapiens (Human)
Classical swine fever virus,11096,Sus scrofa (Pig)
Cowpea mosaic virus (CPMV),12264,Cajanus cajan (Pigeon pea) (Cajanus indicus)
Borna disease virus (BDV),12455,Felis catus (Cat) (Felis silvestris catus)
Hepatitis A virus,12092,Homo sapiens (Human)
Gammapapillomavirus 2,333928,Homo sapiens (Human)
Bean yellow mosaic virus,,Robinia pseudoacacia (Black locust)
Borna disease virus (BDV),12455,Hexaprotodon liberiensis (Pygmy hippopotamus) (Choeropsis liberiensis)
Tomato torrado virus,370833,Capsicum annuum (Bell pepper)
Bacillus phage SP02 (Bacteriophage SP02),,Bacillus subtilis
Enterobacteria phage Qbeta sensu lato,427703,Escherichia coli
Zucchini yellow mosaic virus,12232,Cucumis melo (Muskmelon)
Bunyamwera virus (BUNV),,Homo sapiens (Human)
Maize streak virus,10821,Zea mays (Maize)
Cowpea chlorotic mottle virus (CCMV),,Glycine max (Soybean) (Glycine hispida)
Bean leafroll virus (BLRV),,Vicia faba (Broad bean) (Faba vulgaris)
Rodent protoparvovirus 1,1511908,Rattus norvegicus (Rat)
Avian orthoreovirus,38170,Gallus gallus (Chicken)
Faba bean necrotic yellows virus,59817,Vicia faba (Broad bean) (Faba vulgaris)
Maize streak virus,10821,Paspalum notatum (Bahia grass)
Squash mosaic virus,12263,Citrullus lanatus (Watermelon) (Citrullus vulgaris)
Bat coronavirus HKU5 (BtCoV) (BtCoV/HKU5/2004),,Pipistrellus abramus (Japanese pipistrelle) (Pipistrellus javanicus abramus)
Enterobacteria phage lambda (Bacteriophage lambda),,Escherichia coli
Streptococcus phage Cp-1 (Bacteriophage Cp-1),10747,Streptococcus pneumoniae
Clover yellow vein virus,,Glycine max (Soybean) (Glycine hispida)
Canine distemper virus,11232,Ailurus fulgens (Lesser panda) (Red panda)
Beet necrotic yellow vein virus,31721,Spinacia oleracea (Spinach)
Nipah virus,,Homo sapiens (Human)
Human parainfluenza 2 virus (HPIV-2),11212,Homo sapiens (Human)
Poplar mosaic virus,12166,Populus nigra (Lombardy poplar)
Mupapillomavirus 1,334203,Homo sapiens (Human)
Woodchuck hepatitis virus,35269,Marmota monax (Woodchuck)
Thermoproteus tenax virus 1,10479,Thermoproteus tenax
Machupo virus (MACV),,Homo sapiens (Human)
Bovine immunodeficiency virus,11657,Bos javanicus (Wild banteng)
Staphylococcus phage Twort,55510,Staphylococcus phage Twort
Cocal virus (COCV),,Bos taurus (Bovine)
Potato virus A (PVA),,Solanum tuberosum (Potato)
Barley yellow dwarf virus,12037,Zea mays (Maize)
Rice stripe virus,12331,Avena sativa (Oat)
Bean pod mottle virus,12260,Glycine max (Soybean) (Glycine hispida)
Western equine encephalitis virus (WEEV),,Carpodacus mexicanus (House finch) (Haemorhous mexicanus)
Pseudomonas phage Pf3 (Bacteriophage Pf3),,Pseudomonas aeruginosa
Visna/maedi virus,11741,Ovis aries (Sheep)
African swine fever virus (ASFV),10497,Phacochoerus africanus (Warthog)
Pea enation mosaic virus-1 (PEMV-1),193121,Vicia faba (Broad bean) (Faba vulgaris)
Beet western yellows virus,12042,Spinacia oleracea (Spinach)
Borna disease virus (BDV),,Felis catus (Cat) (Felis silvestris catus)
Ross River virus,11029,Sus scrofa (Pig)
Bean leafroll virus (BLRV),,Cicer arietinum (Chickpea) (Garbanzo)
Grapevine virus A,35288,Vitis vinifera (Grape)
Peste-des-petits-ruminants virus (PPRV),,Ovis aries (Sheep)
Borna disease virus (BDV),12455,Capra hircus (Goat)
Bombyx mori nuclear polyhedrosis virus (BmNPV),,Bombyx mori (Silk moth)
Northern cereal mosaic virus (NCMV),,Hordeum vulgare (Barley)
Barley yellow dwarf virus (isolate MAV) (BYDV),,Secale cereale (Rye)
Rice stripe virus,12331,Setaria italica (Foxtail millet) (Panicum italicum)
Beet western yellows virus,12042,Glycine max (Soybean) (Glycine hispida)
Powassan virus,11083,Lepus americanus (Snowshoe hare)
Turnip yellow mosaic virus,12154,Malva parviflora (Little mallow) (Cheeseweed mallow)
Bacillus phage rho15 (Bacteriophage rho-15),,Bacillus subtilis
Hepatitis B virus (HBV),10407,Pan troglodytes (Chimpanzee)
Australian bat lyssavirus,90961,Pteropus alecto (Black flying fox)
Alfalfa mosaic virus,12321,Lactuca sativa (Garden lettuce)
Tobacco ringspot virus (TobRV) (TRSV),12282,Beta vulgaris (Sugar beet)
Powassan virus,11083,Homo sapiens (Human)
Barley yellow dwarf virus (isolate MAV) (BYDV),12038,Triticum aestivum (Wheat)
Dengue virus,12637,Erythrocebus patas (Red guenon) (Cercopithecus patas)
Papaya ringspot virus,12205,Momordica charantia (Bitter gourd) (Balsam pear)
Crimean-Congo hemorrhagic fever virus,11593,Rhipicephalus microplus (Cattle tick) (Boophilus microplus)
Bean leafroll virus (BLRV),,Phaseolus vulgaris (Kidney bean) (French bean)
Gloriosa stripe mosaic virus (GSMV),,Trifolium incarnatum (Crimson clover)
Striped jack nervous necrosis virus (SjNNV),,Dicentrarchus labrax (European seabass) (Morone labrax)
Gloriosa stripe mosaic virus (GSMV),,Vicia faba (Broad bean) (Faba vulgaris)
Sclerotinia sclerotiorum debilitation-associated RNA virus,213034,Sclerotinia sclerotiorum (White mold) (Whetzelinia sclerotiorum)
Cowpea severe mosaic virus,12261,Vigna unguiculata (Cowpea)
Raspberry bushy dwarf virus (RBDV),12451,Rubus idaeus (Raspberry)
Louping ill virus (Li),11086,Ovis aries (Sheep)
Invertebrate iridescent virus 6 (IIV-6) (Chilo iridescent virus),,Spodoptera frugiperda (Fall armyworm)
Tobacco etch virus (TEV),,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Rotavirus A,28875,Homo sapiens (Human)
Parsnip yellow fleck virus,12777,Daucus carota (Wild carrot)
Vaccinia virus,10245,Homo sapiens (Human)
Influenza A virus,11320,Mustela lutreola (European mink)
Gloriosa stripe mosaic virus (GSMV),,Robinia pseudoacacia (Black locust)
Staphylococcus phage 42D (Bacteriophage P42D),,Staphylococcus aureus
Tomato golden mosaic virus,10831,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Rotavirus C,36427,Homo sapiens (Human)
African swine fever virus (ASFV),10497,Potamochoerus larvatus (Bushpig)
Influenza A virus,11320,Homo sapiens (Human)
Maize streak virus,10821,Hordeum vulgare (Barley)
Enterobacteria phage PRD1 (Bacteriophage PRD1),,Pseudomonas aeruginosa
Viral hemorrhagic septicemia virus,11287,Coregonus lavaretus (Common whitefish) (Salmo lavaretus)
Barley yellow dwarf virus (isolate MAV) (BYDV),12038,Secale cereale (Rye)
Staphylococcus phage 44AHJD,,Staphylococcus aureus
Potato virus X (PVX),12183,Brassica campestris (Field mustard)
Rotavirus H,1348384,Homo sapiens (Human)
Uukuniemi virus (Uuk),11591,Ixodes ricinus (Common tick)
Maize streak virus,10821,Oryza sativa (Rice)
Beet western yellows virus,12042,Vicia faba (Broad bean) (Faba vulgaris)
Pea enation mosaic virus-1 (PEMV-1),193121,Trifolium incarnatum (Crimson clover)
Pigeon circovirus (PiCV) (Columbid circovirus),,Columba livia (Rock dove)
Soybean chlorotic mottle virus,,Glycine max (Soybean) (Glycine hispida)
Avian infectious bursal disease virus (IBDV) (Gumboro disease virus),10995,Meleagris gallopavo (Common turkey)
Hepatitis E virus (HEV),12461,Sus scrofa (Pig)
Bean yellow dwarf virus (BeYDV),,Phaseolus vulgaris (Kidney bean) (French bean)
Lassa mammarenavirus,11620,Homo sapiens (Human)
Potato mop-top virus,37128,Solanum nigrum (Black nightshade)
Cowpox virus (CPV),10243,Mus musculus (Mouse)
Yaba monkey tumor virus (YMTV),38804,Homo sapiens (Human)
Rift valley fever virus (RVFV),11588,Homo sapiens (Human)
Narcissus mosaic virus (NMV),,Narcissus pseudonarcissus (Daffodil)
Bean yellow mosaic virus,,Papaver somniferum (Opium poppy)
Hamster polyomavirus (HaPyV),,Mesocricetus auratus (Golden hamster)
Tobacco etch virus (TEV),,Datura stramonium (Jimsonweed) (Common thornapple)
Pichinde mammarenavirus (PICV) (Pichind mammarenavirus),,Cavia cutleri (Guinea pig)
Spring viremia of carp virus (Rhabdovirus carpia),,Cyprinus carpio (Common carp)
Soybean chlorotic mottle virus,,Phaseolus vulgaris (Kidney bean) (French bean)
Rice black streaked dwarf virus (RBSDV),,Hordeum vulgare (Barley)
Cowpea mosaic virus (CPMV),12264,Crotalaria juncea (Sunn hemp)
Betapapillomavirus 1,337051,Homo sapiens (Human)
Cucumber mosaic virus (cucumber mosaic cucumovirus),12305,Spinacia oleracea (Spinach)
Simian immunodeficiency virus (SIV),11723,Pan troglodytes (Chimpanzee)
Tobacco ringspot virus (TobRV) (TRSV),12282,Narcissus pseudonarcissus (Daffodil)
BK polyomavirus (BKPyV),,Homo sapiens (Human)